Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,40 Yard,Rating,Draft
2008,Roy Schuening,Oregon State,OG,76,306,,26,25,,,,5.29,0,0
2008,Arman Shields,Richmond,WR,73,194,,19,37.5,128,3.96,6.67,4.37,0,0
2008,Jamie Silva,Boston College,SS,71,204,,,31.5,112,,,4.78,0,0
2008,Chad Simpson,Morgan State (MD),RB,69,216,,,32.5,124,,,4.4,0,0
2008,Jerome Simpson,Coastal Carolina,WR,74,199,,,37.5,136,4.52,7.08,4.42,78,1
2008,Pat Sims,Auburn,DT,74,310,,20,27,,,,5.06,83,1
2008,Steve Slaton,West Virginia,RB,69,197,,19,33.5,118,,,4.45,0,0
2008,Bryan Smith,McNeese State (LA),OLB,75,231,,17,32.5,120,4.4,7.22,4.74,0,0
2008,Dorian Smith,Oregon State,DE,74,264,,24,27.5,105,4.73,7.52,5.06,0,0
2008,Kevin Smith,Central Florida,RB,73,217,,,32,120,4.49,6.74,4.53,0,0
2008,Marcus Smith,New Mexico,WR,74,221,,20,26.5,111,4.42,7.1,4.51,0,0
2008,Paul Smith,Tulsa,QB,73,208,,,26.5,111,4.29,7.02,4.95,0,0
2008,Taj Smith,Syracuse,WR,73,187,,,35,119,4.5,7.15,4.59,0,0
2008,Matt Spanos,Southern Californiaifornia,C,77,317,,,22.5,104,4.92,7.9,5.47,0,0
2008,Carl Stewart,Auburn,FB,73,230,,30,39,134,4.5,7.12,4.66,0,0
2008,Jonathan Stewart,Oregon,RB,70,235,,28,36.5,128,,,4.46,80,1
2008,Darrell Strong,Pittsburgh,TE,76,268,,17,25,110,4.36,6.86,4.78,0,0
2008,John Sullivan,Notre Dame,C,76,301,,21,30,103,4.55,7.62,5.35,92,1
2008,Brandon Sumrall,Southern Mississippi,CB,70,195,,,30.5,123,4.1,6.76,4.6,0,0
2008,Limas Sweed,Texas,WR,76,215,,,35,,,,4.48,0,0
2008,Adam Tafralis,San Jose State,QB,73,221,,,32,108,4.33,7.14,4.78,0,0
2008,Aqib Talib,Kansas,CB,73,202,,10,38,131,4.25,6.82,4.44,90,1
2008,Jacob Tamme,Kentucky,TE,76,236,,18,30,109,4.27,6.99,4.58,79,1
2008,Darnell Terrell,Missouri,CB,74,203,,15,34,125,,,4.46,0,0
2008,Devin Thomas,Michigan State,WR,74,215,23,,28,126,4.26,7.15,4.41,0,0
2008,Marcus Thomas,Texas-El Paso,RB,73,213,,21,30,116,,,4.59,0,0
2008,Terrell Thomas,Southern Californiaifornia,CB,73,202,,14,30.5,123,,7.18,4.45,0,0
2008,Jeremy Thompson,Wake Forest,DE,77,264,,25,32,117,4.23,6.97,4.75,0,0
2008,Ryan Torain,Arizona State,RB,73,222,,21,34,120,,,4.61,0,0
2008,DeJuan Tribble,Boston College,CB,69,189,,13,32,114,,,4.59,0,0
2008,Justin Tryon,Arizona State,CB,69,190,,21,32.5,119,4.28,7.41,4.42,0,0
2008,Mario Urrutia,Louisville,WR,78,232,,,30,115,4.44,7.07,4.59,0,0
2008,Marcus Walker,Oklahoma,CB,71,191,,,35.5,122,4.1,6.8,4.46,0,0
2008,Cody Wallace,Texas A&M,C,76,296,,26,30.5,113,4.55,7.45,5.3,69,1
2008,Nehemiah Warrick,Michigan State,FS,73,211,,16,29.5,119,4.09,6.98,4.51,0,0
2008,Nick Watkins,Clemson,OLB,73,223,,17,25,108,4.72,7.97,4.77,0,0
2008,Terrence Wheatley,Colorado,CB,70,187,,17,36.5,128,4.2,6.74,4.37,0,0
2008,Philip Wheeler,Georgia Tech,ILB,74,248,,24,31,118,4.29,7.11,4.76,78,1
2008,Jonathan Wilhite,Auburn,CB,70,185,,20,33.5,119,,,4.38,0,0
2008,Jack Williams,Kent State (OH),CB,69,186,,19,35.5,121,,6.91,4.43,0,0
2008,Thomas Williams,Southern Californiaifornia,ILB,73,238,,26,29.5,113,,,4.86,0,0
2008,Trae Williams,South Florida,CB,69,193,,,29.5,110,,,4.51,0,0
2008,D.J. Wolfe,Oklahoma,SS,71,207,,,28,112,4.32,7.02,4.61,0,0
2008,Wesley Woodyard,Kentucky,OLB,73,227,,,30,118,4.25,7.15,4.51,75,1
2008,Kyle Wright,Miami,QB,76,218,,,25.5,105,4.32,7.34,4.85,0,0
2008,Tom Zbikowski,Notre Dame,SS,71,211,,24,,,,,4.44,0,0
2008,Jonathan Zenon,Louisiana State,CB,73,191,,,33,,,,4.48,0,0
2008,Jeremy Zuttah,Rutgers,OT,76,303,,35,26.5,107,4.54,7.59,4.99,81,1
2007,Jon Abbate,Wake Forest,ILB,70,231,,26,38.5,115,4.33,7.12,5,0,0
2007,Victor Abiamiri,Notre Dame,DE,76,267,,25,,,,,4.8,0,0
2007,Gaines Adams,Clemson,DE,77,258,,,35,119,4.36,7.17,4.64,0,0
2007,CJ Ah You,Oklahoma,DE,76,274,,26,36.5,108,4.4,7.06,4.7,0,0
2007,Gerald Alexander,Boise State,FS,73,210,,15,41,124,4.21,7.24,4.51,0,0
2007,Rufus Alexander,Oklahoma,OLB,73,228,,25,35,117,4.3,7.06,4.79,0,0
2007,Jay Alford,Penn State,DT,76,304,,,25.5,103,4.83,7.81,5.17,0,0
2007,Michael Allan,Whitworth,TE,78,255,,19,36,123,4.52,7.31,4.71,0,0
2007,Andy Alleman,Akron,OG,76,305,,27,30,106,4.65,7.8,5.07,0,0
2007,Aundrae Allison,East Carolina,WR,73,198,,,37,127,,,4.39,0,0
2007,Cory Anderson,Tennessee,FB,74,247,,19,37,115,4.35,7.37,4.7,0,0
2007,Deon Anderson,Connecticut,FB,71,243,,23,33,114,4.43,7.27,4.73,0,0
2007,Antwan Applewhite,San Diego State,DE,75,250,,25,35,115,4.36,7.5,4.73,0,0
2007,Anthony Arline,Baylor,CB,74,199,,12,34.5,124,4.46,7.02,4.43,0,0
2007,Baraka Atkins,Miami,DE,77,271,,22,33,111,,,4.69,0,0
2007,Travarous Bain,Hampton,CB,73,182,,10,,,,,4.43,0,0
2007,Dallas Baker,Florida,WR,75,208,,,36,129,4.19,6.69,4.53,0,0
2007,Antwan Barnes,Florida International,OLB,73,240,,31,35,122,4.32,7.29,4.43,74,1
2007,Dan Bazuin,Central Michigan,DE,75,266,,25,30,109,4.75,7.09,4.77,0,0
2007,John Beck,BYU,QB,74,215,30,,29.5,111,4.17,6.81,4.75,0,0
2007,Josh Beekman,Boston College,OG,74,313,,24,25.5,93,4.81,8.24,5.36,0,0
2007,Fred Bennett,South Carolina,CB,73,196,,17,38.5,123,4.3,6.67,4.46,0,0
2007,Nathan Bennett,Clemson,OG,77,316,,34,26.5,87,5.04,8.15,5.34,0,0
2007,Larry Birdine,Oklahoma,DE,76,261,,21,32,107,4.76,7.47,5.02,0,0
2007,Quincy Black,New Mexico,OLB,74,240,,24,41.5,124,4.34,6.86,4.42,0,0
2007,Justin Blalock,Texas,OG,75,320,,40,28.5,101,4.72,7.75,5.1,82,1
2007,Lorenzo Booker,Florida State,RB,71,191,,26,35.5,121,,,4.46,0,0
2007,Kevin Boss,Western Oregon,TE,79,252,,,35,116,4.41,6.96,4.78,0,0
2007,Dwayne Bowe,Louisiana State,WR,74,221,,,33,125,4.35,6.81,4.51,87,1
2007,Tyron Brackenridge,Washington State,CB,73,189,,,,,,,4.67,0,0
2007,Stewart Bradley,Nebraska,OLB,76,254,,28,35.5,112,4.17,7.29,4.72,0,0
2007,Alan Branch,Michigan,DT,78,324,,33,27.5,107,,,5.07,78,1
2007,Steve Breaston,Michigan,WR,73,193,,,33,124,4.29,6.9,4.46,0,0
2007,Larry Brown,Oklahoma State,DT,75,297,,22,27,108,4.81,7.67,5.2,0,0
2007,Levi Brown,Penn State,OT,78,323,,31,25.5,97,4.89,7.87,5.4,0,0
2007,Tarell Brown,Texas,CB,71,190,,17,33.5,111,4.37,7,4.45,86,1
2007,Mkristo Bruce,Washington State,DE,78,268,,21,29,106,4.8,7.38,5,0,0
2007,Eldra Buckley,Tennessee-Chattanooga,RB,70,202,,14,35.5,120,4.43,7.71,4.56,0,0
2007,Noland Burchette,Virginia Tech,DE,74,259,,15,,,,,4.73,0,0
2007,Prescott Burgess,Michigan,OLB,76,240,,19,32.5,106,4.31,7.01,4.82,0,0
2007,Adam Carriker,Nebraska,DE,78,296,,33,33.5,110,4.18,7.06,4.9,0,0
2007,Scott Chandler,Iowa,TE,79,270,,16,30,111,4.32,7.26,4.78,81,1
2007,Jeremy Clark,Alabama,DT,75,309,,29,29,104,4.82,7.78,5.02,0,0
2007,Thomas Clayton,Kansas State,RB,70,218,,23,36.5,121,,,4.63,0,0
2007,David Clowney,Virginia Tech,WR,73,188,,,32.5,123,4.15,7,4.36,0,0
2007,Daniel Coats,BYU,TE,75,257,,34,30,111,4.43,7.07,4.94,0,0
2007,Michael Coe,Alabama State,CB,73,190,,17,35,122,4.31,6.78,4.53,0,0
2007,Joe Cohen,Florida,DT,75,313,,34,26,,,,5.1,0,0
2007,Alonzo Coleman,Hampton,RB,70,207,,27,,120,,,4.49,0,0
2007,Duane Coleman,Clemson,CB,70,199,,18,35.5,120,4.51,7.18,4.57,0,0
2007,Jemalle Cornelius,Florida,WR,71,184,,,34.5,123,4.3,6.99,4.57,0,0
2007,Jon Cornish,Kansas,RB,73,206,,,34,118,,7.09,4.62,0,0
2007,Tim Crowder,Texas,DE,76,272,,32,30.5,111,4.32,7.28,4.69,0,0
2007,Quinton Culberson,Mississippi State,OLB,73,236,,18,29.5,113,,,4.77,0,0
2007,Craig Dahl,North Dakota State,SS,74,216,,17,35,122,4.26,6.69,4.55,74,1
2007,Jessie Daniels,Louisiana State,SS,71,216,,25,,,,,4.54,0,0
2007,Kenneth Darby,Alabama,RB,71,211,,19,30,108,4.53,7.25,4.75,0,0
2007,Doug Datish,Ohio State,C,76,302,,31,26,102,4.65,7.51,5.13,0,0
2007,Buster Davis,Florida State,ILB,70,239,,24,31,104,4.37,7.28,4.64,0,0
2007,Chris Davis,Florida State,WR,70,181,,,35.5,115,4.14,6.66,4.5,0,0
2007,Victor DeGrate,Oklahoma State,DE,75,249,,19,,,,,4.77,0,0
2007,Chris Denman,Fresno State,OT,79,315,,21,27.5,97,4.92,8.1,5.62,0,0
2007,Zak DeOssie,Brown,ILB,77,250,,26,34.5,122,4.22,6.89,4.58,57,1
2007,Tim Duckworth,Auburn,OG,75,306,,20,25,94,4.78,8.26,5.42,0,0
2007,Quintin Echols,Kansas State,DT,73,328,,25,,,,,5.4,0,0
2007,Trent Edwards,Stanford,QB,76,231,31,19,,,4.46,7.14,4.76,69,1
2007,Earl Everett,Florida,OLB,75,238,,19,32,113,,,4.73,0,0
2007,Aaron Fairooz,Central Arkansas,WR,78,209,,,36,125,4.27,6.89,4.49,0,0
2007,Yamon Figurs,Kansas State,WR,71,174,,,,123,4.21,6.85,4.3,0,0
2007,Joel Filani,Texas Tech,WR,74,211,,17,32.5,117,,,4.57,0,0
2007,Jacob Ford,Central Arkansas,DE,76,249,,19,,,,,4.65,0,0
2007,Eric Frampton,Washington State,SS,71,204,,10,34.5,122,4.17,6.84,4.61,0,0
2007,Doug Free,Northern Illinois,OT,78,324,,22,30,111,4.53,7.38,5.19,82,1
2007,Dustin Fry,Clemson,C,75,315,,34,,,,,5.28,0,0
2007,Brandon Frye,Virginia Tech,OT,76,301,,34,32.5,103,4.4,7.5,5.08,0,0
2007,C.J. Gaddis,Clemson,FS,73,203,,20,36.5,121,4.3,7.28,4.45,0,0
2007,Josh Gattis,Wake Forest,FS,73,206,,22,34.5,121,4.27,6.72,4.51,0,0
2007,Luke Getsy,Akron,QB,75,222,20,,32.5,106,4.46,6.95,4.96,0,0
2007,Dashon Goldson,Washington,FS,74,205,,12,34.5,115,4.46,7.37,4.6,81,1
2007,Anthony Gonzalez,Ohio State,WR,73,193,,,38,123,4.08,6.54,4.44,0,0
2007,Michael Griffin,Texas,SS,73,202,,16,36,120,4.1,6.6,4.45,82,1
2007,Ben Grubbs,Auburn,OG,75,311,,29,26.5,103,4.72,7.99,5.18,91,1
2007,Matt Gutierrez,Idaho State,QB,76,232,28,,29.5,108,4.28,6.99,5,0,0
2007,Gabe Hall,Texas Tech,OT,76,313,,22,29,104,4.68,7.59,4.91,0,0
2007,KaMichael Hall,Georgia Tech,OLB,73,228,,,33,111,4.62,7.5,4.77,0,0
2007,Leon Hall,Michigan,CB,71,193,,15,37.5,125,4.07,6.5,4.39,88,1
2007,Jonny Harline,BYU,TE,76,248,,15,28.5,106,4.68,7.05,4.84,0,0
2007,Justin Harrell,Tennessee,DT,77,300,,24,30.5,108,4.79,7.63,5.04,0,0
2007,Clark Harris,Rutgers,TE,78,261,,21,32,112,4.4,,4.8,63,1
2007,David Harris,Michigan,ILB,74,243,,23,33,107,4.29,7.25,4.59,82,1
2007,Leroy Harris,North Carolina State,C,75,302,,29,24.5,96,4.8,8,5.35,0,0
2007,Nate Harris,Louisville,OLB,73,230,,26,32,107,4.52,7.19,4.6,0,0
2007,Ryan Harris,Notre Dame,OT,77,305,,22,25.5,100,4.52,7.78,5.09,0,0
2007,Mario Henderson,Florida State,OT,79,302,,20,28.5,109,4.87,7.6,5.11,0,0
2007,Chris Henry,Arizona,RB,71,230,,26,36,127,4.16,6.96,4.4,0,0
2007,Stephon Heyer,Maryland,OT,79,334,,30,,94,,,5.59,0,0
2007,Justin Hickman,UCLA,OLB,74,254,,23,29.5,115,4.43,7.06,4.75,70,1
2007,Jarrett Hicks,Texas Tech,WR,75,210,,,34.5,120,,,4.67,0,0
2007,JohnnieLee Higgins,Texas-El Paso,WR,73,186,,,36.5,122,4.32,6.62,4.48,0,0
2007,Jason Hill,Washington State,WR,73,204,,,37,123,4.22,7.02,4.32,0,0
2007,Johnathan Holland,Louisiana Tech,WR,73,195,,15,35.5,120,4.4,7.12,4.45,0,0
2007,Chris Houston,Arkansas,CB,70,185,,27,36,122,4.12,6.94,4.32,0,0
2007,Daymeion Hughes,California,CB,70,190,,16,28.5,114,4.43,7.28,4.65,0,0
2007,Nate Ilaoa,Hawaii,RB,69,245,,25,30,103,4.42,7.1,4.77,0,0
2007,David Irons,Auburn,CB,70,190,,11,29.5,111,4.3,7.18,4.44,0,0
2007,Kenny Irons,Auburn,RB,71,203,,,38,123,4.17,7,4.45,0,0
2007,Brandon Jackson,Nebraska,RB,70,210,,21,37,122,4.14,7,4.54,0,0
2007,Keith Jackson,Arkansas,DT,73,305,,33,30,,4.56,7.65,5.05,0,0
2007,Tanard Jackson,Syracuse,FS,73,200,,12,32.5,121,4.28,6.89,4.52,75,1
2007,Xzavie Jackson,Missouri,DE,75,278,,18,33,110,,,4.92,0,0
2007,Drisan James,Boise State,WR,73,193,,14,39,126,4.39,7.09,4.52,0,0
2007,Antonio Johnson,Mississippi State,DT,75,310,,28,29,108,4.49,7.51,5.15,74,1
2007,Calvin Johnson,Georgia Tech,WR,77,239,,,,,,,4.35,99,1
2007,Charles Johnson,Georgia,DE,74,270,,33,34,118,,7.5,4.84,65,1
2007,Chase Johnson,Wyoming,OT,81,330,,,27,91,4.7,8.15,5.41,0,0
2007,Michael Johnson,Arizona,SS,75,205,,15,33,114,4.32,7.04,4.62,91,1
2007,Rory Johnson,Mississippi,OLB,73,232,,19,38,116,4.07,,4.59,0,0
2007,Jacoby Jones,Lane,WR,75,210,,,34,129,4.31,7.03,4.5,79,1
2007,James Jones,San Jose State,WR,73,207,,22,34,119,4.2,7.06,4.54,84,1
2007,Mike Jones,Iowa,OG,77,309,,28,25.5,98,4.88,7.84,5.46,0,0
2007,Adam Koets,Oregon State,OT,77,298,,20,32,106,4.47,7.44,5.08,0,0
2007,Kevin Kolb,Houston,QB,75,218,,,32.5,112,4.44,6.94,4.85,0,0
2007,Toby Korrodi,Central Missouri,QB,76,234,12,,25,91,4.64,7.77,5.37,0,0
2007,LaRon Landry,Louisiana State,FS,73,213,,,37.5,123,,,4.35,82,1
2007,Zach Latimer,Oklahoma,ILB,74,237,,19,34,109,4.45,7.27,4.78,0,0
2007,Chris Leak,Florida,QB,73,209,,,32.5,113,4.41,7.03,4.74,0,0
2007,Brian Leonard,Rutgers,RB,74,226,,28,34.5,122,4.22,6.88,4.52,0,0
2007,Reggie Lewis,Florida,CB,70,204,,14,34,119,,7.13,4.54,0,0
2007,Enoka Lucas,Oregon,C,75,303,,34,27.5,104,4.84,8.1,5.46,0,0
2007,Marshawn Lynch,California,RB,71,215,,20,35.5,125,4.58,7.09,4.46,95,1
2007,Palauni Ma Sun,Oregon,OG,77,319,,22,24.5,91,5.01,8.72,5.86,0,0
2007,James Marten,Boston College,OT,80,309,,,30.5,100,4.54,7.68,5.08,0,0
2007,Ryan McBean,Oklahoma State,DT,77,286,,27,28,108,4.46,7.79,4.98,0,0
2007,Turk McBride,Tennessee,DT,75,277,,27,31,108,4.12,7.1,4.81,0,0
2007,Marcus McCauley,Fresno State,CB,73,203,,17,36,129,4.17,6.61,4.39,0,0
2007,Le'Ron McClain,Alabama,FB,73,256,,14,29.5,113,4.47,7.14,4.85,0,0
2007,Marquay McDaniel,Hampton,WR,71,205,,19,33.5,114,4.35,7.13,4.52,0,0
2007,Brandon McDonald,Memphis,CB,71,181,,17,33,118,4.76,7.44,4.58,0,0
2007,Brandon Meriweather,Miami,FS,71,195,,11,35,111,4.33,7.06,4.47,79,1
2007,Martrez Milner,Georgia,TE,76,252,,19,34,117,4.49,7.35,4.79,0,0
2007,Marvin Mitchell,Tennessee,ILB,75,249,,22,32,108,4.25,7.29,4.87,0,0
2007,Jay Moore,Nebraska,DE,77,274,,26,34,118,4.35,7.19,4.92,0,0
2007,Ryan Moore,Miami,WR,74,217,,,32,110,4.35,6.87,4.54,0,0
2007,Drew Mormino,Central Michigan,C,75,299,,27,28,105,4.53,7.48,5.32,0,0
2007,Quentin Moses,Georgia,DE,77,261,,17,32,115,4.53,7.38,4.82,0,0
2007,Jarvis Moss,Florida,DE,79,250,,16,30.5,120,,,4.7,0,0
2007,Tyrone Moss,Miami,RB,69,231,,16,31,106,4.56,,4.75,0,0
2007,Dan Mozes,West Virginia,C,75,293,,28,25.5,101,4.84,7.98,5.35,0,0
2007,Legedu Naanee,Boise State,WR,74,225,,19,40,119,,,4.41,0,0
2007,Chinedum Ndukwe,Notre Dame,FS,74,206,,15,37.5,,,,4.49,0,0
2007,J.D. Nelson,Oregon,FS,73,207,,,32.5,111,4.53,7.29,4.83,0,0
2007,Reggie Nelson,Florida,FS,73,198,,,34.5,,,,4.48,85,1
2007,Joe Newton,Oregon State,TE,79,257,,20,31,109,4.57,7.35,4.89,0,0
2007,Syvelle Newton,South Carolina,WR,73,218,,20,,,,,4.64,0,0
2007,Stephen Nicholas,South Florida,OLB,74,232,,29,33.5,110,4.45,7.29,4.64,0,0
2007,Chad Nkang,Missouri,SS,73,220,,23,36.5,118,4.34,7.1,4.52,0,0
2007,Uche Nwaneri,Purdue,OG,75,325,,24,,,,,5.37,0,0
2007,Amobi Okoye,Louisville,DT,74,302,,29,30,111,,7.46,5.07,72,1
2007,Michael Okwo,Stanford,ILB,73,232,,20,35.5,121,4.43,7.12,4.7,0,0
2007,Sam Olajubutu,Arkansas,OLB,69,227,,24,34.5,118,4.34,7.33,4.77,0,0
2007,Greg Olsen,Miami,TE,78,254,,23,35.5,114,4.48,7.04,4.51,88,1
2007,Mike Otto,Purdue,OT,78,308,,20,26.5,105,4.67,7.62,5.2,0,0
2007,Tyler Palko,Pittsburgh,QB,74,215,18,,31.5,112,4.36,7.05,4.83,0,0
2007,Jordan Palmer,Texas-El Paso,QB,78,231,23,,30.5,104,4.58,7.32,4.98,66,1
2007,Marcus Paschal,Iowa,FS,73,201,,15,33,,4.72,7.31,4.59,0,0
2007,Ben Patrick,Delaware,TE,75,252,,,34.5,111,4.31,7.21,4.74,0,0
2007,David Patterson,Ohio State,DT,74,285,,21,32.5,118,4.43,7.47,5.1,0,0
2007,Kevin Payne,Louisiana-Monroe,FS,73,220,,20,35,106,4.3,7,4.6,0,0
2007,Leonard Peters,Hawaii,FS,73,210,,21,32.5,110,,7.49,4.8,0,0
2007,Adrian Peterson,Oklahoma,RB,74,217,16,,38.5,127,4.4,7.09,4.4,98,1
2007,Blair Phillips,Oregon,ILB,73,243,,23,30.5,106,4.48,7.01,4.84,0,0
2007,James Pinkney,East Carolina,QB,75,208,,,34,112,4.49,7.35,4.79,0,0
2007,Sabby Piscitelli,Oregon State,SS,75,224,,19,34.5,122,3.9,6.84,4.47,0,0
2007,Quinn Pitcock,Ohio State,DT,75,299,,,34,112,,,4.93,0,0
2007,Antonio Pittman,Ohio State,RB,71,207,,16,35.5,123,4.16,6.84,4.4,0,0
2007,Anthony Pudewell,Nevada,TE,76,250,,15,25.5,101,4.41,7.31,5.07,0,0
2007,Brady Quinn,Notre Dame,QB,75,232,29,24,,,,,4.73,0,0
2007,Jerard Rabb,Boise State,WR,75,201,,,36.5,125,4.19,6.99,4.58,0,0
2007,Manuel Ramirez,Texas Tech,OG,75,326,,40,,,,,5.24,0,0
2007,Sidney Rice,South Carolina,WR,76,200,,,39.5,119,4.34,7.09,4.51,82,1
2007,Jay Richardson,Ohio State,DE,78,279,,20,33,112,4.54,7.5,5,0,0
2007,Gijon Robinson,Missouri Western,FB,73,255,,21,33,116,4.43,7.23,4.71,0,0
2007,Laurent Robinson,Illinois State,WR,74,199,,19,39,127,4.28,6.83,4.38,0,0
2007,Ryne Robinson,Miami (OH),WR,69,179,,,35,123,4.21,6.71,4.47,0,0
2007,Brian Robison,Texas,DE,75,259,,27,40.5,121,4.26,6.89,4.67,86,1
2007,Dante Rosario,Oregon,TE,75,244,,20,36,115,4.47,6.96,4.78,76,1
2007,Aaron Rouse,Virginia Tech,SS,76,223,,16,35,,,,4.58,0,0
2007,Jeff Rowe,Nevada,QB,77,226,21,,29.5,114,4.15,6.72,4.91,0,0
2007,Gary Russell,Minnesota,RB,71,229,,9,31.5,113,4.54,,4.77,0,0
2007,JaMarcus Russell,Louisiana State,QB,78,265,24,,,,,,4.83,0,0
2007,Clifton Ryan,Michigan State,DT,74,305,,25,26.5,102,4.69,7.5,5.12,0,0
2007,Dan Santucci,Notre Dame,OG,76,301,,23,29,102,4.74,7.47,5.13,0,0
2007,Dallas Sartz,Southern Californiaifornia,OLB,77,237,,20,33.5,111,4.13,6.85,4.71,0,0
2007,Samson Satele,Hawaii,C,75,300,,25,33,101,4.29,7.47,5.24,0,0
2007,Derek Schouman,Boise State,FB,74,247,,27,37.5,122,4.27,7,4.74,0,0
2007,Kenny Scott,Georgia Tech,CB,73,179,,10,40,127,,,4.39,0,0
2007,Ken Shackleford,Georgia,OT,77,322,,28,24.5,102,5.05,8.35,5.3,0,0
2007,Brandon Sharp,Louisville,FS,70,194,,18,37.5,,,,4.58,0,0
2007,Tim Shaw,Penn State,OLB,74,236,,26,36.5,116,4.12,7.01,4.51,0,0
2007,Brandon Siler,Florida,ILB,74,241,,,30.5,109,,7.34,4.62,0,0
2007,Juwan Simpson,Alabama,OLB,75,225,,15,34.5,123,4.42,7.22,4.55,0,0
2007,Bo Smith,Weber State (UT),CB,70,193,,14,,,,,4.44,0,0
2007,Kelvin Smith,Syracuse,ILB,74,240,,26,32,110,4.42,7.19,4.8,0,0
2007,Kolby Smith,Louisville,RB,71,220,,18,38,114,4.34,7.22,4.5,0,0
2007,Ryan Smith,Florida,CB,70,174,,11,,,,,4.51,0,0
2007,Steve Smith,Southern Californiaifornia,WR,73,197,,,38,120,4.19,6.68,4.44,87,1
2007,Jason Snelling,Virginia,FB,71,230,,,30,111,4.38,7.06,4.79,0,0
2007,Paul Soliai,Utah,DT,76,344,,,29.5,103,4.69,7.66,5.1,87,1
2007,Joe Staley,Central Michigan,OT,78,306,,27,,,,,4.78,94,1
2007,Cameron Stephenson,Rutgers,OG,75,306,,34,28.5,101,4.81,7.72,5.4,0,0
2007,Scott Stephenson,Iowa State,C,75,297,,21,29.5,99,4.57,7.62,5.2,0,0
2007,Syndric Steptoe,Arizona,WR,69,194,,17,33,,,,4.59,0,0
2007,John Stocco,Wisconsin,QB,74,207,,,27,104,4.6,7.34,5.08,0,0
2007,Daren Stone,Maine,SS,75,218,,13,39,132,4.44,7.13,4.58,0,0
2007,Chansi Stuckey,Clemson,WR,71,197,,,35,120,4.14,6.91,4.56,0,0
2007,Kasey Studdard,Texas,OG,75,303,,32,,,,,5.18,0,0
2007,Jayson Swain,Tennessee,WR,73,212,,,33,,,,4.63,0,0
2007,Josh Swogger,Montana,QB,77,237,,,28.5,107,4.76,7.25,5.12,0,0
2007,Courtney Taylor,Auburn,WR,74,204,,,36,122,4.28,7.22,4.5,0,0
2007,Herb Taylor,Texas Christian,OT,76,296,,26,27,100,4.64,7.78,5.19,0,0
2007,Ramonce Taylor,Texas College,RB,70,195,,,34,125,4.23,6.98,4.5,0,0
2007,Tony Taylor,Georgia,OLB,73,236,,26,32,108,4.36,7.17,4.92,0,0
2007,Zac Taylor,Nebraska,QB,75,216,,,30.5,110,4.6,7.39,5.06,0,0
2007,Joe Thomas,Wisconsin,OT,79,311,,28,33,110,4.88,7.95,4.92,98,1
2007,Marcus Thomas,Florida,DT,75,314,,27,,,,,5.18,0,0
2007,Lawrence Timmons,Florida State,OLB,73,234,,25,35,123,4.32,6.92,4.66,88,1
2007,Matt Toeaina,Oregon,DT,74,307,,26,,,,,5.1,0,0
2007,Matt Trannon,Michigan State,WR,78,216,,13,36.5,118,4.34,7.09,4.57,0,0
2007,Tank Tyler,North Carolina State,DT,74,306,,42,28.5,,,,5.18,0,0
2007,Tony Ugoh,Arkansas,OT,77,301,,32,32.5,117,,,5.06,0,0
2007,Dane Uperesa,Hawaii,OT,77,309,,,,,,,5.28,0,0
2007,Chad Upshaw,Buffalo,TE,77,252,,16,33.5,108,4.58,7.23,4.9,0,0
2007,Elliot Vallejo,Cal Davis,OT,79,327,,24,26,94,5.14,7.95,5.38,0,0
2007,Jonathan Wade,Tennessee,CB,70,195,,,40.5,126,4.4,7.07,4.36,0,0
2007,Darius Walker,Notre Dame,RB,70,206,,19,40.5,123,4.39,7.18,4.55,0,0
2007,Mike Walker,Central Florida,WR,74,209,,18,36.5,121,4.39,6.92,4.35,0,0
2007,Justin Warren,Texas A&M,ILB,75,245,,16,29.5,115,,,4.85,0,0
2007,Anthony Waters,Clemson,ILB,75,245,,25,,,,,4.59,0,0
2007,Eric Weddle,Utah,SS,71,203,,11,33.5,113,4.12,6.78,4.48,94,1
2007,John Wendling,Wyoming,FS,73,222,,22,38.5,129,4.16,6.96,4.48,0,0
2007,Marvin White,Texas Christian,FS,73,199,,17,33.5,,,,4.54,0,0
2007,Chandler Williams,Florida International,WR,71,184,,,32.5,123,4.29,6.99,4.42,0,0
2007,Chaz Williams,Louisiana-Monroe,CB,71,196,,,32.5,108,,,4.68,0,0
2007,Paul Williams,Fresno State,WR,73,205,,,38.5,125,4.24,7.03,4.45,0,0
2007,Julius Wilson,Alabama-Birmingham,OT,77,327,,,27,103,5,8.33,5.43,0,0
2007,Garrett Wolfe,Northern Illinois,RB,68,186,,,35.5,,4.08,6.69,4.4,0,0
2007,D'Juan Woods,Oklahoma State,WR,73,208,,,36.5,120,4.34,6.89,4.58,0,0
2007,Abraham Wright,Colorado,DE,74,242,,24,31,111,4.46,7.2,4.9,0,0
2007,Dwayne Wright,Fresno State,RB,73,228,,14,34,115,4.43,7.23,4.66,0,0
2007,Eric Wright,UNLV,CB,71,192,,16,36.5,123,4.23,6.93,4.36,0,0
2007,Mansfield Wrotto,Georgia Tech,OG,75,317,,27,,92,4.92,8.34,5.4,0,0
2007,DeShawn Wynn,Florida,RB,71,232,,,31.5,115,,,4.47,0,0
